MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
6.164,5.933,5.929,8.800,8.548,8.593,2.058,497.444,0.000,71117,901334,108,4398.092,4068.716,4091.134,0.849,0.893,0.892,28.493,24.421,24.140,0.739,0.823,0.794,19.992,19.256,17.375,0.643,0.709,0.702,15.129,14.707,13.522,0.550,0.617,0.609,11.649,12.283,10.767,0.456,0.503,0.508,8.915,9.114,8.508,0.364,0.421,0.406,6.651,7.191,6.563,0.183,0.231,0.194,3.027,3.959,3.175,
6.164,5.907,5.892,8.800,8.551,8.537,2.058,472.796,0.002,71117,877533,2309,4398.092,4063.031,4063.454,0.849,0.895,0.891,28.493,24.217,24.561,0.739,0.800,0.786,19.992,18.121,17.478,0.643,0.715,0.681,15.129,14.567,13.549,0.550,0.614,0.573,11.649,11.661,10.718,0.456,0.503,0.466,8.915,9.162,8.441,0.364,0.439,0.366,6.651,7.451,6.498,0.183,0.229,0.183,3.027,3.801,3.113,
6.164,6.039,5.902,8.800,8.661,8.501,2.058,450.218,0.001,71117,863720,458,4398.092,4068.129,4052.189,0.849,0.900,0.904,28.493,25.360,26.043,0.739,0.811,0.812,19.992,18.595,18.794,0.643,0.695,0.720,15.129,14.140,14.603,0.550,0.608,0.622,11.649,11.460,11.599,0.456,0.483,0.519,8.915,8.823,9.167,0.364,0.432,0.416,6.651,7.760,7.063,0.183,0.245,0.208,3.027,4.098,3.409,
6.164,5.995,5.969,8.800,8.606,8.649,2.058,488.766,0.000,71117,857800,161,4398.092,4072.890,4109.965,0.849,0.899,0.903,28.493,24.295,25.884,0.739,0.806,0.811,19.992,18.368,18.589,0.643,0.698,0.721,15.129,14.385,14.447,0.550,0.617,0.626,11.649,11.341,11.476,0.456,0.481,0.522,8.915,8.348,9.023,0.364,0.420,0.416,6.651,7.706,6.941,0.183,0.202,0.202,3.027,3.619,3.346,
6.164,5.927,5.918,8.800,8.534,8.553,2.058,472.001,0.000,71117,822617,131,4398.092,4069.441,4079.961,0.849,0.898,0.902,28.493,24.827,25.769,0.739,0.808,0.810,19.992,18.802,18.589,0.643,0.711,0.718,15.129,14.872,14.476,0.550,0.601,0.621,11.649,11.396,11.431,0.456,0.491,0.521,8.915,8.591,8.987,0.364,0.411,0.418,6.651,7.496,6.924,0.183,0.204,0.206,3.027,3.640,3.301,
6.164,5.950,5.880,8.800,8.566,8.499,2.058,447.481,0.006,71117,832068,1779,4398.092,4073.737,4057.146,0.849,0.899,0.899,28.493,25.583,25.514,0.739,0.806,0.801,19.992,18.031,18.318,0.643,0.708,0.700,15.129,14.491,14.158,0.550,0.619,0.590,11.649,12.014,11.193,0.456,0.548,0.481,8.915,10.159,8.851,0.364,0.390,0.382,6.651,6.779,6.803,0.183,0.201,0.190,3.027,3.602,3.252,
6.164,5.963,5.821,8.800,8.621,8.436,2.058,511.655,0.001,71117,871392,231,4398.092,4074.755,4037.293,0.849,0.897,0.903,28.493,24.753,24.944,0.739,0.799,0.811,19.992,17.583,18.078,0.643,0.707,0.719,15.129,14.576,14.065,0.550,0.607,0.619,11.649,11.782,11.141,0.456,0.517,0.511,8.915,9.444,8.823,0.364,0.417,0.404,6.651,7.917,6.804,0.183,0.191,0.199,3.027,3.402,3.282,
6.164,5.981,5.916,8.800,8.589,8.563,2.058,514.259,0.000,71117,860790,180,4398.092,4077.507,4096.334,0.849,0.908,0.900,28.493,25.175,25.370,0.739,0.803,0.807,19.992,17.733,18.256,0.643,0.690,0.717,15.129,14.148,14.188,0.550,0.612,0.622,11.649,11.744,11.251,0.456,0.516,0.520,8.915,9.704,8.872,0.364,0.408,0.413,6.651,7.095,6.849,0.183,0.233,0.204,3.027,3.990,3.299,
6.164,5.982,6.027,8.800,8.581,8.662,2.058,494.464,0.000,71117,878543,466,4398.092,4075.224,4126.268,0.849,0.901,0.896,28.493,24.789,25.655,0.739,0.792,0.798,19.992,17.653,18.313,0.643,0.705,0.703,15.129,13.839,14.144,0.550,0.609,0.604,11.649,11.791,11.166,0.456,0.517,0.501,8.915,9.266,8.770,0.364,0.429,0.395,6.651,7.514,6.744,0.183,0.232,0.192,3.027,3.959,3.237,
6.164,5.895,5.898,8.800,8.521,8.521,2.058,482.380,0.001,71117,876413,500,4398.092,4072.038,4073.927,0.849,0.901,0.901,28.493,24.886,25.603,0.739,0.804,0.807,19.992,18.747,18.476,0.643,0.705,0.709,15.129,14.815,14.310,0.550,0.625,0.601,11.649,11.975,11.317,0.456,0.543,0.495,8.915,9.876,8.906,0.364,0.410,0.393,6.651,7.733,6.873,0.183,0.234,0.195,3.027,3.924,3.318,
6.164,5.922,5.942,8.800,8.538,8.552,2.058,484.855,0.000,71117,855065,269,4398.092,4069.175,4077.273,0.849,0.904,0.890,28.493,24.939,24.449,0.739,0.805,0.788,19.992,18.473,17.553,0.643,0.708,0.691,15.129,14.787,13.613,0.550,0.598,0.592,11.649,11.964,10.816,0.456,0.520,0.488,8.915,9.340,8.538,0.364,0.427,0.386,6.651,7.685,6.610,0.183,0.212,0.190,3.027,3.322,3.152,
6.164,5.920,5.885,8.800,8.533,8.520,2.058,501.763,0.002,71117,871623,2290,4398.092,4064.654,4070.610,0.849,0.893,0.900,28.493,24.128,25.368,0.739,0.809,0.804,19.992,18.405,18.222,0.643,0.705,0.704,15.129,14.611,14.186,0.550,0.583,0.598,11.649,10.820,11.207,0.456,0.522,0.493,8.915,9.639,8.857,0.364,0.414,0.396,6.651,7.503,6.846,0.183,0.185,0.199,3.027,2.948,3.280,
6.164,5.922,5.878,8.800,8.538,8.528,2.058,487.386,0.000,71117,882798,253,4398.092,4073.424,4068.345,0.849,0.901,0.902,28.493,25.175,25.651,0.739,0.793,0.807,19.992,17.762,18.333,0.643,0.688,0.709,15.129,14.896,14.192,0.550,0.595,0.603,11.649,11.276,11.206,0.456,0.528,0.493,8.915,9.512,8.813,0.364,0.431,0.391,6.651,7.156,6.789,0.183,0.200,0.192,3.027,3.748,3.249,
6.164,5.922,5.923,8.800,8.546,8.535,2.058,499.428,0.005,71117,842812,670,4398.092,4073.803,4068.591,0.849,0.904,0.888,28.493,25.190,24.246,0.739,0.798,0.785,19.992,17.559,17.485,0.643,0.708,0.684,15.129,14.000,13.542,0.550,0.608,0.581,11.649,11.815,10.715,0.456,0.500,0.476,8.915,8.602,8.472,0.364,0.411,0.379,6.651,7.306,6.540,0.183,0.213,0.188,3.027,3.644,3.154,
6.164,5.950,5.915,8.800,8.564,8.542,2.058,490.823,0.003,71117,854649,307,4398.092,4074.193,4073.270,0.849,0.907,0.897,28.493,25.588,25.221,0.739,0.791,0.800,19.992,17.734,18.054,0.643,0.719,0.704,15.129,14.767,13.920,0.550,0.603,0.601,11.649,11.224,10.997,0.456,0.518,0.495,8.915,9.355,8.638,0.364,0.420,0.388,6.651,7.353,6.636,0.183,0.206,0.188,3.027,3.452,3.168,
6.164,5.946,5.879,8.800,8.581,8.509,2.058,442.495,0.001,71117,783509,1546,4398.092,4070.353,4062.639,0.849,0.911,0.883,28.493,25.634,23.948,0.739,0.806,0.774,19.992,18.510,17.007,0.643,0.720,0.671,15.129,15.228,13.086,0.550,0.627,0.563,11.649,12.173,10.339,0.456,0.493,0.460,8.915,9.099,8.121,0.364,0.396,0.363,6.651,7.132,6.231,0.183,0.215,0.180,3.027,3.770,2.973,
6.164,6.028,5.937,8.800,8.686,8.561,2.058,480.580,0.001,71117,865827,825,4398.092,4068.345,4079.687,0.849,0.902,0.884,28.493,25.411,23.679,0.739,0.821,0.780,19.992,19.304,16.985,0.643,0.709,0.682,15.129,14.798,13.148,0.550,0.625,0.580,11.649,12.118,10.377,0.456,0.503,0.478,8.915,9.373,8.149,0.364,0.406,0.381,6.651,7.246,6.268,0.183,0.231,0.189,3.027,3.451,2.992,
6.164,5.999,5.948,8.800,8.589,8.576,2.058,426.054,0.003,71117,807547,5736,4398.092,4074.718,4089.181,0.849,0.902,0.891,28.493,25.783,24.977,0.739,0.797,0.789,19.992,17.819,17.745,0.643,0.710,0.685,15.129,14.378,13.703,0.550,0.611,0.578,11.649,11.821,10.791,0.456,0.510,0.480,8.915,9.196,8.486,0.364,0.397,0.384,6.651,7.303,6.526,0.183,0.204,0.194,3.027,3.385,3.134,
6.164,5.947,5.894,8.800,8.551,8.513,2.058,508.931,0.002,71117,891266,317,4398.092,4066.950,4048.136,0.849,0.899,0.894,28.493,24.994,24.881,0.739,0.806,0.793,19.992,18.357,17.838,0.643,0.706,0.694,15.129,14.085,13.820,0.550,0.607,0.591,11.649,11.592,10.922,0.456,0.490,0.486,8.915,8.489,8.574,0.364,0.411,0.383,6.651,7.633,6.613,0.183,0.215,0.187,3.027,3.524,3.155,
