MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
6.164,5.943,5.875,8.800,8.547,8.500,1.577,205.382,0.000,35836,337120,64,3078.871,2852.817,2846.919,0.849,0.892,0.907,28.493,24.252,26.294,0.739,0.791,0.815,19.992,17.593,18.935,0.550,0.598,0.618,11.649,11.768,11.516,0.364,0.410,0.407,6.651,7.210,6.926,0.183,0.223,0.200,3.027,3.744,3.327,
6.164,5.948,5.865,8.800,8.554,8.489,1.577,167.904,0.001,35836,305607,311,3078.871,2853.243,2842.229,0.849,0.903,0.893,28.493,25.439,24.778,0.739,0.790,0.794,19.992,18.166,17.702,0.550,0.582,0.599,11.649,11.254,10.796,0.364,0.413,0.394,6.651,6.989,6.523,0.183,0.231,0.197,3.027,4.037,3.096,
6.164,5.972,5.940,8.800,8.587,8.585,1.577,176.363,0.000,35836,280331,23,3078.871,2856.682,2875.497,0.849,0.905,0.898,28.493,25.130,24.999,0.739,0.814,0.802,19.992,19.357,17.940,0.550,0.621,0.613,11.649,12.023,10.997,0.364,0.410,0.403,6.651,7.145,6.624,0.183,0.189,0.198,3.027,3.160,3.153,
6.164,5.973,5.889,8.800,8.599,8.509,1.577,183.672,0.000,35836,290125,226,3078.871,2853.245,2849.430,0.849,0.900,0.901,28.493,24.732,25.488,0.739,0.807,0.804,19.992,18.773,18.309,0.550,0.619,0.607,11.649,11.744,11.164,0.364,0.393,0.399,6.651,6.922,6.735,0.183,0.200,0.197,3.027,3.595,3.233,
6.164,5.927,5.916,8.800,8.555,8.544,1.577,152.969,0.001,35836,254498,498,3078.871,2856.629,2862.337,0.849,0.908,0.901,28.493,25.908,25.792,0.739,0.802,0.807,19.992,17.750,18.485,0.550,0.624,0.609,11.649,11.856,11.333,0.364,0.394,0.400,6.651,7.130,6.849,0.183,0.191,0.201,3.027,3.168,3.272,
6.164,5.939,5.902,8.800,8.560,8.519,1.577,179.433,0.000,35836,320882,83,3078.871,2856.803,2851.209,0.849,0.895,0.900,28.493,24.901,25.709,0.739,0.815,0.803,19.992,18.838,18.440,0.550,0.605,0.607,11.649,11.926,11.237,0.364,0.406,0.404,6.651,7.474,6.780,0.183,0.223,0.202,3.027,4.221,3.236,
6.164,6.032,5.929,8.800,8.679,8.543,1.577,148.317,0.000,35836,274248,107,3078.871,2862.818,2858.313,0.849,0.897,0.902,28.493,25.134,25.426,0.739,0.800,0.806,19.992,18.211,18.195,0.550,0.628,0.616,11.649,12.162,11.013,0.364,0.425,0.418,6.651,7.395,6.618,0.183,0.209,0.212,3.027,3.509,3.185,
6.164,5.952,5.917,8.800,8.559,8.563,1.577,201.771,0.000,35836,298454,131,3078.871,2856.968,2869.072,0.849,0.899,0.893,28.493,24.506,25.351,0.739,0.803,0.792,19.992,18.411,18.102,0.550,0.613,0.595,11.649,11.444,10.973,0.364,0.416,0.382,6.651,6.926,6.609,0.183,0.222,0.187,3.027,3.797,3.152,
6.164,5.934,5.895,8.800,8.547,8.532,1.577,169.723,0.001,35836,273138,521,3078.871,2850.283,2854.520,0.849,0.897,0.898,28.493,24.976,25.147,0.739,0.799,0.804,19.992,18.098,18.165,0.550,0.618,0.606,11.649,11.365,11.130,0.364,0.414,0.402,6.651,6.938,6.746,0.183,0.210,0.200,3.027,3.708,3.237,
6.164,5.991,5.941,8.800,8.627,8.519,1.577,145.532,0.000,35836,263992,85,3078.871,2841.675,2853.891,0.849,0.903,0.898,28.493,25.632,25.367,0.739,0.804,0.802,19.992,18.083,18.202,0.550,0.624,0.612,11.649,11.884,11.096,0.364,0.424,0.409,6.651,7.393,6.709,0.183,0.196,0.202,3.027,3.643,3.192,
6.164,5.961,5.967,8.800,8.583,8.588,1.577,167.160,0.000,35836,276468,84,3078.871,2854.746,2871.128,0.849,0.912,0.900,28.493,26.123,25.645,0.739,0.813,0.803,19.992,18.863,18.414,0.550,0.607,0.614,11.649,11.461,11.286,0.364,0.425,0.407,6.651,7.739,6.824,0.183,0.212,0.195,3.027,3.166,3.279,
6.164,6.007,5.869,8.800,8.644,8.501,1.577,150.481,0.000,35836,258432,121,3078.871,2851.654,2849.283,0.849,0.902,0.894,28.493,25.447,25.093,0.739,0.803,0.796,19.992,18.358,18.035,0.550,0.601,0.601,11.649,11.260,11.066,0.364,0.425,0.385,6.651,7.831,6.749,0.183,0.202,0.185,3.027,3.287,3.240,
6.164,5.891,5.894,8.800,8.490,8.497,1.577,136.492,0.000,35836,262393,408,3078.871,2847.452,2852.417,0.849,0.901,0.902,28.493,25.133,26.229,0.739,0.800,0.806,19.992,17.676,18.727,0.550,0.616,0.612,11.649,11.711,11.368,0.364,0.425,0.406,6.651,7.380,6.842,0.183,0.208,0.201,3.027,3.582,3.293,
6.164,5.933,5.944,8.800,8.543,8.572,1.577,183.943,0.001,35836,326505,119,3078.871,2851.682,2868.624,0.849,0.901,0.898,28.493,25.535,25.191,0.739,0.822,0.802,19.992,19.210,18.058,0.550,0.580,0.609,11.649,10.899,10.961,0.364,0.419,0.391,6.651,7.199,6.561,0.183,0.237,0.191,3.027,3.762,3.122,
6.164,5.918,5.940,8.800,8.539,8.590,1.577,143.631,0.000,35836,274843,167,3078.871,2844.383,2870.138,0.849,0.902,0.908,28.493,24.935,26.376,0.739,0.815,0.818,19.992,19.288,18.993,0.550,0.629,0.632,11.649,12.278,11.633,0.364,0.418,0.419,6.651,7.282,7.083,0.183,0.219,0.207,3.027,3.762,3.369,
