MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
6.164,5.926,5.902,8.800,8.542,8.524,2.506,739.995,0.002,109874,1419022,553,6109.042,5697.353,5703.112,0.849,0.900,0.890,28.493,24.793,24.472,0.739,0.823,0.786,19.992,19.070,17.413,0.643,0.733,0.686,15.129,15.147,13.401,0.550,0.592,0.584,11.649,11.458,10.548,0.456,0.525,0.481,8.915,9.756,8.263,0.364,0.421,0.379,6.651,7.432,6.348,0.273,0.274,0.282,4.725,4.636,4.635,0.183,0.209,0.188,3.027,3.845,3.020,0.092,0.141,0.095,1.470,2.256,1.505,
6.164,5.992,5.968,8.800,8.631,8.596,2.506,688.125,0.002,109874,1372583,2133,6109.042,5691.378,5734.521,0.849,0.903,0.892,28.493,25.032,25.045,0.739,0.811,0.791,19.992,18.921,17.902,0.643,0.708,0.690,15.129,14.378,13.813,0.550,0.595,0.579,11.649,11.404,10.913,0.456,0.502,0.472,8.915,9.220,8.549,0.364,0.416,0.370,6.651,6.987,6.547,0.273,0.304,0.274,4.725,5.335,4.788,0.183,0.204,0.181,3.027,3.774,3.143,0.092,0.127,0.090,1.470,1.876,1.565,
6.164,5.966,5.952,8.800,8.571,8.624,2.506,764.970,0.000,109874,1460514,111,6109.042,5703.177,5751.986,0.849,0.895,0.903,28.493,25.001,25.996,0.739,0.806,0.811,19.992,18.092,18.573,0.643,0.713,0.718,15.129,14.364,14.354,0.550,0.605,0.622,11.649,11.721,11.320,0.456,0.503,0.514,8.915,9.531,8.889,0.364,0.390,0.405,6.651,6.771,6.816,0.273,0.320,0.298,4.725,5.169,4.978,0.183,0.214,0.196,3.027,3.360,3.276,0.092,0.137,0.097,1.470,2.387,1.629,
6.164,5.994,5.877,8.800,8.619,8.501,2.506,689.921,0.002,109874,1393065,1360,6109.042,5698.837,5672.498,0.849,0.898,0.895,28.493,24.710,24.825,0.739,0.802,0.795,19.992,17.714,17.797,0.643,0.693,0.694,15.129,13.984,13.727,0.550,0.619,0.588,11.649,12.277,10.859,0.456,0.484,0.482,8.915,8.802,8.525,0.364,0.395,0.381,6.651,6.740,6.536,0.273,0.336,0.281,4.725,5.575,4.769,0.183,0.189,0.186,3.027,3.520,3.117,0.092,0.109,0.093,1.470,1.552,1.536,
6.164,5.925,6.054,8.800,8.540,8.712,2.506,742.254,0.002,109874,1393486,980,6109.042,5696.080,5803.947,0.849,0.895,0.886,28.493,24.552,24.260,0.739,0.812,0.783,19.992,18.623,17.226,0.643,0.702,0.683,15.129,14.219,13.267,0.550,0.601,0.580,11.649,11.448,10.420,0.456,0.527,0.476,8.915,9.297,8.187,0.364,0.404,0.373,6.651,7.450,6.296,0.273,0.308,0.274,4.725,5.268,4.588,0.183,0.210,0.179,3.027,3.306,3.002,0.092,0.111,0.088,1.470,1.698,1.481,
6.164,5.944,5.919,8.800,8.579,8.581,2.506,761.133,0.000,109874,1426559,553,6109.042,5699.372,5723.006,0.849,0.891,0.901,28.493,23.842,24.942,0.739,0.819,0.805,19.992,19.171,17.844,0.643,0.721,0.711,15.129,14.954,13.794,0.550,0.608,0.608,11.649,11.473,10.895,0.456,0.528,0.498,8.915,9.409,8.563,0.364,0.420,0.391,6.651,7.486,6.569,0.273,0.314,0.288,4.725,5.445,4.789,0.183,0.176,0.191,3.027,2.989,3.131,0.092,0.114,0.094,1.470,2.048,1.557,
6.164,5.921,5.893,8.800,8.558,8.499,2.506,705.504,0.002,109874,1385797,2807,6109.042,5709.065,5676.465,0.849,0.903,0.892,28.493,25.260,24.434,0.739,0.799,0.790,19.992,18.098,17.468,0.643,0.700,0.689,15.129,14.407,13.426,0.550,0.620,0.581,11.649,12.169,10.584,0.456,0.512,0.474,8.915,9.305,8.303,0.364,0.431,0.375,6.651,7.770,6.378,0.273,0.298,0.282,4.725,5.445,4.639,0.183,0.235,0.190,3.027,3.755,3.028,0.092,0.122,0.096,1.470,2.061,1.500,
6.164,5.949,5.967,8.800,8.572,8.602,2.506,793.218,0.000,109874,1392068,505,6109.042,5718.192,5739.682,0.849,0.906,0.905,28.493,25.397,26.414,0.739,0.806,0.811,19.992,18.578,18.887,0.643,0.718,0.719,15.129,15.254,14.556,0.550,0.593,0.622,11.649,11.485,11.458,0.456,0.512,0.516,8.915,9.774,8.999,0.364,0.407,0.410,6.651,6.855,6.904,0.273,0.326,0.303,4.725,5.765,5.036,0.183,0.208,0.199,3.027,3.215,3.277,0.092,0.110,0.100,1.470,2.017,1.628,
6.164,5.990,5.958,8.800,8.578,8.584,2.506,644.256,0.001,109874,1304926,462,6109.042,5697.888,5728.519,0.849,0.904,0.889,28.493,25.061,24.693,0.739,0.820,0.789,19.992,18.584,17.702,0.643,0.710,0.690,15.129,14.730,13.715,0.550,0.632,0.581,11.649,12.275,10.817,0.456,0.512,0.475,8.915,9.374,8.510,0.364,0.425,0.374,6.651,7.246,6.549,0.273,0.278,0.277,4.725,4.885,4.800,0.183,0.226,0.184,3.027,3.819,3.166,0.092,0.114,0.092,1.470,2.057,1.565,
6.164,5.906,5.868,8.800,8.537,8.485,2.506,721.017,0.009,109874,1395499,454,6109.042,5710.017,5682.229,0.849,0.899,0.903,28.493,24.556,26.068,0.739,0.801,0.810,19.992,17.985,18.679,0.643,0.705,0.717,15.129,14.765,14.430,0.550,0.610,0.618,11.649,11.611,11.374,0.456,0.515,0.512,8.915,9.215,8.958,0.364,0.427,0.408,6.651,7.845,6.889,0.273,0.292,0.305,4.725,5.016,5.007,0.183,0.225,0.201,3.027,3.810,3.282,0.092,0.094,0.099,1.470,1.647,1.623,
6.164,5.983,5.918,8.800,8.585,8.529,2.506,703.235,0.006,109874,1414853,635,6109.042,5696.132,5690.806,0.849,0.892,0.897,28.493,24.032,25.471,0.739,0.799,0.800,19.992,17.845,18.202,0.643,0.710,0.705,15.129,14.360,14.075,0.550,0.601,0.608,11.649,11.250,11.088,0.456,0.503,0.506,8.915,9.296,8.700,0.364,0.420,0.404,6.651,7.192,6.691,0.273,0.314,0.302,4.725,5.362,4.891,0.183,0.194,0.199,3.027,3.746,3.225,0.092,0.121,0.099,1.470,2.226,1.603,
6.164,5.980,5.920,8.800,8.598,8.524,2.506,662.831,0.000,109874,1362945,446,6109.042,5697.710,5694.102,0.849,0.901,0.893,28.493,25.119,24.610,0.739,0.810,0.792,19.992,18.496,17.586,0.643,0.709,0.695,15.129,14.600,13.543,0.550,0.611,0.598,11.649,12.263,10.672,0.456,0.515,0.496,8.915,9.437,8.383,0.364,0.412,0.395,6.651,7.431,6.438,0.273,0.333,0.295,4.725,5.739,4.688,0.183,0.220,0.196,3.027,4.143,3.076,0.092,0.105,0.098,1.470,2.079,1.513,
6.164,5.947,5.926,8.800,8.551,8.541,2.506,654.940,0.002,109874,1351008,818,6109.042,5696.314,5704.839,0.849,0.902,0.897,28.493,24.762,25.111,0.739,0.797,0.798,19.992,18.153,17.906,0.643,0.690,0.702,15.129,14.161,13.771,0.550,0.617,0.602,11.649,11.635,10.866,0.456,0.510,0.502,8.915,9.350,8.527,0.364,0.426,0.402,6.651,7.542,6.553,0.273,0.327,0.302,4.725,5.675,4.789,0.183,0.223,0.200,3.027,3.632,3.116,0.092,0.111,0.102,1.470,1.921,1.544,
6.164,5.950,5.952,8.800,8.551,8.564,2.506,727.788,0.000,109874,1401515,473,6109.042,5702.260,5708.146,0.849,0.907,0.895,28.493,25.688,25.064,0.739,0.801,0.793,19.992,18.377,17.881,0.643,0.705,0.695,15.129,15.167,13.804,0.550,0.620,0.593,11.649,11.928,10.924,0.456,0.476,0.491,8.915,8.765,8.576,0.364,0.435,0.392,6.651,7.689,6.598,0.273,0.318,0.296,4.725,5.429,4.829,0.183,0.171,0.199,3.027,3.298,3.163,0.092,0.098,0.098,1.470,1.669,1.554,
6.164,5.948,5.913,8.800,8.589,8.543,2.506,698.438,0.002,109874,1383866,642,6109.042,5708.589,5711.604,0.849,0.900,0.890,28.493,25.235,24.534,0.739,0.803,0.789,19.992,17.806,17.507,0.643,0.711,0.692,15.129,14.488,13.506,0.550,0.581,0.589,11.649,11.169,10.665,0.456,0.508,0.483,8.915,9.250,8.401,0.364,0.414,0.383,6.651,7.269,6.463,0.273,0.307,0.284,4.725,5.159,4.703,0.183,0.209,0.189,3.027,3.632,3.068,0.092,0.106,0.095,1.470,2.147,1.510,
6.164,5.959,5.875,8.800,8.634,8.497,2.506,716.944,0.003,109874,1393761,2878,6109.042,5712.178,5679.905,0.849,0.891,0.893,28.493,24.320,25.155,0.739,0.807,0.791,19.992,18.171,17.890,0.643,0.697,0.689,15.129,14.461,13.752,0.550,0.615,0.586,11.649,11.812,10.847,0.456,0.501,0.482,8.915,9.360,8.518,0.364,0.414,0.383,6.651,7.035,6.548,0.273,0.305,0.288,4.725,5.335,4.761,0.183,0.209,0.193,3.027,3.022,3.086,0.092,0.089,0.096,1.470,1.786,1.520,
6.164,5.988,5.901,8.800,8.576,8.526,2.506,723.419,0.000,109874,1405106,607,6109.042,5709.402,5690.813,0.849,0.903,0.902,28.493,25.788,25.822,0.739,0.801,0.807,19.992,18.333,18.484,0.643,0.714,0.713,15.129,14.560,14.272,0.550,0.623,0.618,11.649,11.807,11.303,0.456,0.519,0.516,8.915,9.533,8.882,0.364,0.409,0.413,6.651,7.319,6.818,0.273,0.312,0.310,4.725,5.591,4.979,0.183,0.194,0.207,3.027,3.319,3.257,0.092,0.110,0.104,1.470,1.943,1.608,
6.164,5.965,5.970,8.800,8.546,8.540,2.506,664.778,0.001,109874,1326781,1270,6109.042,5705.480,5700.967,0.849,0.905,0.901,28.493,25.685,25.937,0.739,0.810,0.804,19.992,18.722,18.541,0.643,0.712,0.709,15.129,14.534,14.343,0.550,0.599,0.607,11.649,10.788,11.304,0.456,0.522,0.501,8.915,9.821,8.857,0.364,0.417,0.401,6.651,7.136,6.814,0.273,0.311,0.303,4.725,5.598,4.966,0.183,0.211,0.201,3.027,3.431,3.245,0.092,0.098,0.102,1.470,1.780,1.584,
