MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
9.124,8.241,8.208,17.124,16.473,16.438,9.553,127.791,0.001,19910,217448,135,4906.657,4433.454,4410.242,0.901,0.899,0.901,39.743,31.413,32.767,0.760,0.802,0.810,25.824,20.759,21.741,0.551,0.602,0.620,14.073,12.751,12.634,0.365,0.411,0.409,7.791,8.158,7.499,0.183,0.195,0.203,3.483,3.593,3.533,
9.078,8.270,8.232,17.082,16.494,16.447,9.463,143.538,0.003,19543,246412,1257,4878.864,4411.133,4417.268,0.901,0.898,0.883,39.909,31.519,30.007,0.763,0.808,0.777,25.924,20.891,19.716,0.554,0.605,0.572,14.096,12.491,11.267,0.367,0.409,0.366,7.802,8.146,6.600,0.183,0.202,0.184,3.469,3.782,3.131,
9.232,8.425,8.273,17.406,16.825,16.709,9.516,156.943,0.000,20074,286571,7,4971.375,4479.747,4473.835,0.899,0.899,0.901,39.749,30.764,33.344,0.763,0.797,0.813,25.759,20.531,22.044,0.553,0.579,0.625,14.050,12.702,12.553,0.365,0.410,0.406,7.797,7.896,7.361,0.182,0.234,0.199,3.476,4.187,3.472,
9.113,8.294,8.235,17.171,16.566,16.526,10.209,142.619,0.023,21030,239984,315,4902.158,4406.849,4428.370,0.900,0.894,0.905,39.511,30.549,34.195,0.764,0.802,0.820,25.749,20.403,22.928,0.550,0.617,0.637,13.999,12.524,13.319,0.366,0.405,0.429,7.792,7.585,7.896,0.184,0.204,0.218,3.481,3.956,3.762,
9.155,8.258,8.219,17.286,16.612,16.595,9.562,149.215,0.000,21861,244394,186,4925.844,4436.169,4438.017,0.900,0.899,0.899,39.749,31.607,31.704,0.762,0.793,0.806,25.744,19.815,20.936,0.551,0.596,0.611,14.049,12.546,12.176,0.365,0.407,0.394,7.790,7.455,7.190,0.183,0.218,0.194,3.476,3.927,3.380,
9.106,8.221,8.212,17.114,16.471,16.452,9.789,124.959,0.036,20981,224102,1207,4899.496,4399.681,4412.023,0.900,0.903,0.891,39.631,32.040,31.684,0.763,0.796,0.790,25.705,20.731,20.760,0.552,0.615,0.581,14.061,12.152,11.800,0.366,0.377,0.376,7.803,7.814,6.920,0.183,0.203,0.189,3.478,4.084,3.267,
9.127,8.298,8.251,17.126,16.498,16.493,8.532,141.965,0.000,19214,227932,50,4906.008,4431.294,4421.477,0.901,0.898,0.900,40.138,30.981,31.886,0.760,0.802,0.808,26.050,20.931,21.196,0.552,0.595,0.619,14.183,11.891,12.419,0.365,0.400,0.407,7.820,7.537,7.333,0.183,0.205,0.202,3.491,3.845,3.461,
9.004,8.226,8.133,16.866,16.287,16.245,8.353,144.073,0.053,19359,223371,3542,4836.460,4367.349,4367.613,0.901,0.897,0.889,39.989,31.004,30.638,0.763,0.805,0.786,25.955,21.205,20.114,0.553,0.593,0.572,14.122,12.339,11.514,0.365,0.390,0.367,7.803,7.431,6.765,0.183,0.177,0.184,3.481,3.452,3.180,
9.119,8.269,8.236,17.217,16.559,16.535,11.293,116.317,0.009,20781,204187,23,4912.155,4418.324,4416.788,0.900,0.899,0.891,39.518,30.866,30.691,0.763,0.798,0.794,25.733,20.275,20.469,0.555,0.604,0.605,14.122,12.485,11.923,0.366,0.394,0.415,7.841,7.485,7.087,0.183,0.204,0.213,3.483,3.412,3.323,
9.112,8.338,8.249,17.163,16.578,16.509,10.907,140.292,0.003,20580,238193,1186,4903.708,4409.480,4427.925,0.900,0.903,0.895,39.921,32.264,32.774,0.766,0.796,0.798,25.872,20.717,21.630,0.556,0.583,0.597,14.072,11.887,12.392,0.366,0.417,0.385,7.803,7.844,7.217,0.183,0.196,0.192,3.466,3.616,3.391,
9.056,8.274,8.248,17.053,16.445,16.430,8.452,136.033,0.001,20463,235730,14,4870.764,4392.648,4424.943,0.902,0.899,0.895,40.118,31.090,32.546,0.766,0.800,0.798,26.006,20.924,21.289,0.556,0.611,0.608,14.148,12.600,12.145,0.366,0.408,0.399,7.846,7.822,7.091,0.184,0.220,0.194,3.508,3.697,3.334,
9.169,8.331,8.321,17.313,16.670,16.680,9.014,117.701,0.003,20290,231568,719,4941.139,4456.202,4473.745,0.901,0.902,0.889,40.039,32.633,30.737,0.767,0.801,0.785,25.929,20.557,20.208,0.556,0.605,0.583,14.158,12.590,11.576,0.366,0.403,0.376,7.865,7.647,6.801,0.183,0.218,0.187,3.510,3.605,3.201,
9.095,8.343,8.213,17.127,16.556,16.483,10.214,127.795,0.004,21979,213507,145,4890.970,4417.523,4422.705,0.901,0.894,0.899,39.424,30.695,32.293,0.767,0.806,0.806,25.750,20.905,21.304,0.552,0.611,0.617,14.011,12.745,12.281,0.365,0.400,0.406,7.754,7.437,7.228,0.183,0.180,0.201,3.464,3.348,3.409,
9.164,8.308,8.349,17.372,16.770,16.775,12.267,144.873,0.004,21831,251142,2254,4940.627,4455.223,4477.961,0.899,0.895,0.884,39.752,31.050,30.308,0.764,0.788,0.775,25.898,20.026,19.780,0.551,0.603,0.570,14.110,12.609,11.325,0.366,0.419,0.377,7.828,7.972,6.665,0.183,0.207,0.190,3.479,3.666,3.139,
9.159,8.397,8.331,17.382,16.776,16.752,10.633,162.029,0.000,22057,255674,102,4940.967,4449.135,4486.282,0.900,0.901,0.888,39.608,32.876,30.812,0.759,0.807,0.786,25.777,21.113,20.218,0.550,0.600,0.594,14.068,12.326,11.654,0.365,0.399,0.387,7.791,7.582,6.814,0.183,0.217,0.189,3.461,3.993,3.218,
