MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
2.183,1.842,1.828,3.950,3.572,3.557,0.328,1.301,0.000,8707,83591,0,70.252,55.202,55.342,0.920,0.906,0.930,10.763,7.993,8.103,0.829,0.779,0.839,6.294,5.523,5.813,0.636,0.597,0.639,3.232,3.516,3.577,0.433,0.394,0.434,1.821,2.006,2.168,0.219,0.183,0.219,0.844,0.970,1.045,
2.183,1.874,1.829,3.950,3.580,3.558,0.328,1.256,0.000,8707,75803,0,70.252,55.290,55.590,0.920,0.918,0.928,10.763,8.038,8.069,0.829,0.834,0.841,6.294,5.867,5.810,0.636,0.594,0.647,3.232,3.468,3.582,0.433,0.386,0.436,1.821,2.093,2.163,0.219,0.158,0.220,0.844,0.815,1.032,
2.183,1.844,1.831,3.950,3.576,3.568,0.328,0.897,0.000,8707,58885,0,70.252,55.190,55.536,0.920,0.906,0.935,10.763,8.060,8.249,0.829,0.801,0.849,6.294,5.630,5.932,0.636,0.595,0.652,3.232,3.455,3.647,0.433,0.373,0.447,1.821,2.036,2.235,0.219,0.178,0.227,0.844,0.895,1.071,
2.183,1.829,1.817,3.950,3.576,3.565,0.328,1.271,0.000,8707,88341,0,70.252,55.255,55.417,0.920,0.908,0.915,10.763,8.070,7.833,0.829,0.794,0.819,6.294,5.525,5.643,0.636,0.631,0.618,3.232,3.624,3.470,0.433,0.400,0.411,1.821,2.065,2.094,0.219,0.211,0.205,0.844,0.998,0.998,
2.183,1.856,1.812,3.950,3.583,3.553,0.328,1.073,0.000,8707,81483,0,70.252,55.233,55.320,0.920,0.911,0.928,10.763,8.113,8.142,0.829,0.793,0.839,6.294,5.521,5.828,0.636,0.599,0.641,3.232,3.511,3.578,0.433,0.431,0.438,1.821,2.186,2.192,0.219,0.204,0.222,0.844,0.999,1.049,
2.183,1.856,1.823,3.950,3.574,3.552,0.328,1.274,0.000,8707,92033,0,70.252,55.160,55.285,0.920,0.905,0.924,10.763,7.881,8.033,0.829,0.801,0.835,6.294,5.597,5.781,0.636,0.606,0.638,3.232,3.432,3.554,0.433,0.400,0.429,1.821,2.075,2.147,0.219,0.218,0.221,0.844,0.975,1.038,
2.183,1.854,1.814,3.950,3.575,3.553,0.328,1.526,0.000,8707,88535,0,70.252,55.245,55.363,0.920,0.893,0.928,10.763,7.699,8.046,0.829,0.809,0.840,6.294,5.834,5.804,0.636,0.601,0.647,3.232,3.516,3.576,0.433,0.392,0.437,1.821,2.021,2.150,0.219,0.154,0.221,0.844,0.882,1.024,
2.183,1.859,1.814,3.950,3.581,3.558,0.328,1.501,0.000,8707,91324,0,70.252,55.289,55.293,0.920,0.909,0.925,10.763,7.946,8.040,0.829,0.792,0.834,6.294,5.595,5.746,0.636,0.615,0.638,3.232,3.509,3.539,0.433,0.409,0.429,1.821,2.152,2.147,0.219,0.205,0.216,0.844,0.975,1.026,
2.183,1.850,1.812,3.950,3.575,3.552,0.328,1.502,0.000,8707,108625,0,70.252,55.318,55.138,0.920,0.887,0.921,10.763,7.714,7.926,0.829,0.810,0.828,6.294,5.807,5.705,0.636,0.616,0.633,3.232,3.546,3.543,0.433,0.386,0.427,1.821,2.096,2.154,0.219,0.209,0.213,0.844,1.006,1.017,
2.183,1.837,1.825,3.950,3.588,3.559,0.328,1.194,0.000,8707,92379,0,70.252,55.232,55.451,0.920,0.897,0.929,10.763,7.830,8.015,0.829,0.793,0.841,6.294,5.651,5.804,0.636,0.615,0.646,3.232,3.554,3.585,0.433,0.437,0.440,1.821,2.222,2.193,0.219,0.212,0.222,0.844,1.012,1.039,
2.183,1.836,1.807,3.950,3.579,3.557,0.328,1.285,0.000,8707,95082,0,70.252,55.299,55.350,0.920,0.913,0.938,10.763,8.098,8.338,0.829,0.782,0.855,6.294,5.616,6.002,0.636,0.608,0.666,3.232,3.564,3.724,0.433,0.386,0.456,1.821,2.080,2.260,0.219,0.213,0.229,0.844,0.969,1.063,
2.183,1.877,1.813,3.950,3.586,3.550,0.328,1.392,0.000,8707,101215,0,70.252,55.259,55.084,0.920,0.913,0.927,10.763,8.194,8.057,0.829,0.800,0.838,6.294,5.711,5.795,0.636,0.626,0.641,3.232,3.566,3.575,0.433,0.399,0.433,1.821,2.136,2.161,0.219,0.236,0.223,0.844,1.076,1.050,
2.183,1.826,1.825,3.950,3.569,3.558,0.328,0.893,0.000,8707,63532,0,70.252,55.192,55.474,0.920,0.897,0.932,10.763,7.767,8.271,0.829,0.793,0.845,6.294,5.460,5.938,0.636,0.584,0.650,3.232,3.346,3.663,0.433,0.406,0.440,1.821,2.093,2.225,0.219,0.154,0.224,0.844,0.859,1.072,
2.183,1.834,1.803,3.950,3.581,3.552,0.328,1.113,0.000,8707,71708,0,70.252,55.245,55.252,0.920,0.895,0.927,10.763,7.708,8.008,0.829,0.817,0.837,6.294,5.714,5.759,0.636,0.641,0.643,3.232,3.696,3.560,0.433,0.425,0.434,1.821,2.230,2.153,0.219,0.191,0.222,0.844,0.935,1.039,
2.183,1.829,1.822,3.950,3.570,3.564,0.328,1.287,0.000,8707,84748,0,70.252,55.219,55.379,0.920,0.894,0.922,10.763,7.681,8.088,0.829,0.824,0.830,6.294,5.845,5.836,0.636,0.610,0.629,3.232,3.487,3.609,0.433,0.388,0.431,1.821,1.994,2.214,0.219,0.177,0.215,0.844,0.883,1.049,
2.183,1.840,1.824,3.950,3.576,3.555,0.328,1.221,0.000,8707,83069,0,70.252,55.268,55.384,0.920,0.909,0.929,10.763,7.873,8.200,0.829,0.762,0.839,6.294,5.287,5.872,0.636,0.596,0.640,3.232,3.445,3.597,0.433,0.435,0.437,1.821,2.219,2.201,0.219,0.177,0.216,0.844,0.903,1.039,
