MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
3.728,3.478,3.389,10.058,9.932,9.916,0.316,1.248,0.000,7830,76671,0,137.445,123.821,124.089,0.914,0.911,0.922,15.143,10.056,10.031,0.826,0.819,0.844,7.498,6.518,6.607,0.633,0.580,0.655,3.516,3.655,3.931,0.431,0.446,0.443,1.936,2.363,2.355,0.218,0.194,0.224,0.887,1.051,1.120,
3.708,3.462,3.370,9.997,9.864,9.850,0.321,1.031,0.000,7960,70415,0,136.466,122.594,123.123,0.915,0.902,0.924,15.174,9.549,10.250,0.826,0.808,0.846,7.513,6.314,6.742,0.634,0.611,0.655,3.524,3.803,3.970,0.433,0.408,0.447,1.942,2.190,2.382,0.219,0.233,0.233,0.889,1.144,1.149,
3.669,3.402,3.334,9.839,9.713,9.693,0.321,0.966,0.000,7926,59524,0,134.987,121.350,121.771,0.915,0.908,0.924,15.118,9.769,10.180,0.826,0.819,0.847,7.484,6.597,6.699,0.634,0.609,0.664,3.521,3.819,3.993,0.433,0.407,0.455,1.939,2.220,2.402,0.219,0.182,0.229,0.889,1.011,1.132,
3.767,3.455,3.421,10.217,10.081,10.069,0.315,0.705,0.000,7714,45061,0,139.274,125.569,125.817,0.914,0.911,0.920,15.150,10.158,9.988,0.825,0.795,0.842,7.483,6.255,6.572,0.632,0.603,0.657,3.514,3.710,3.905,0.432,0.395,0.450,1.937,2.209,2.344,0.218,0.173,0.229,0.889,0.949,1.109,
3.754,3.464,3.416,10.096,9.971,9.957,0.321,1.255,0.000,7909,100996,0,138.467,124.925,125.142,0.913,0.902,0.922,15.096,9.721,10.170,0.824,0.815,0.845,7.478,6.484,6.732,0.632,0.574,0.659,3.515,3.593,3.984,0.432,0.411,0.450,1.938,2.262,2.374,0.219,0.238,0.229,0.889,1.211,1.131,
3.728,3.424,3.394,10.022,9.887,9.879,0.314,0.942,0.000,7808,54576,0,137.405,123.710,124.116,0.914,0.909,0.918,15.134,9.874,9.961,0.825,0.810,0.832,7.496,6.349,6.554,0.634,0.609,0.639,3.524,3.763,3.883,0.432,0.372,0.432,1.940,2.050,2.322,0.219,0.183,0.218,0.890,0.975,1.103,
3.759,3.457,3.423,10.160,10.035,10.021,0.313,1.527,0.000,7848,82707,0,138.857,125.329,125.643,0.913,0.903,0.916,15.170,9.637,9.914,0.824,0.796,0.830,7.502,6.303,6.534,0.633,0.616,0.639,3.519,3.808,3.874,0.431,0.363,0.430,1.940,2.039,2.311,0.218,0.196,0.214,0.887,1.074,1.099,
3.700,3.415,3.351,9.933,9.795,9.778,0.322,0.911,0.000,7882,44759,0,136.175,122.500,122.627,0.914,0.909,0.921,15.089,9.870,10.048,0.825,0.790,0.841,7.481,6.228,6.600,0.634,0.595,0.652,3.517,3.744,3.920,0.433,0.386,0.446,1.939,2.137,2.356,0.219,0.172,0.228,0.889,0.951,1.125,
3.755,3.472,3.414,10.124,9.989,9.972,0.314,1.255,0.000,7765,74836,0,138.795,125.152,125.405,0.914,0.899,0.924,15.202,9.684,10.314,0.824,0.795,0.851,7.491,6.444,6.787,0.633,0.613,0.662,3.520,3.775,3.993,0.432,0.417,0.454,1.939,2.202,2.403,0.218,0.170,0.229,0.888,0.990,1.138,
3.753,3.443,3.404,10.151,10.023,10.006,0.323,1.332,0.000,8012,89888,0,138.502,124.996,125.152,0.914,0.910,0.924,15.211,9.956,10.233,0.825,0.801,0.851,7.507,6.329,6.733,0.634,0.623,0.670,3.529,3.741,3.991,0.433,0.358,0.462,1.941,2.037,2.392,0.219,0.214,0.235,0.890,1.069,1.131,
3.765,3.477,3.417,10.145,10.014,9.998,0.312,1.187,0.000,7706,76311,0,139.172,125.533,125.571,0.913,0.905,0.919,15.121,9.838,9.791,0.825,0.808,0.837,7.503,6.392,6.430,0.633,0.614,0.644,3.521,3.826,3.806,0.432,0.422,0.440,1.938,2.330,2.292,0.218,0.217,0.222,0.888,1.040,1.090,
3.767,3.481,3.412,10.166,10.046,10.032,0.315,1.108,0.000,7730,88500,0,138.970,125.563,125.791,0.913,0.900,0.923,15.028,9.841,10.285,0.824,0.789,0.849,7.468,6.184,6.812,0.633,0.581,0.663,3.518,3.662,4.020,0.432,0.413,0.457,1.939,2.209,2.423,0.218,0.246,0.231,0.889,1.183,1.143,
3.768,3.500,3.423,10.179,10.058,10.041,0.316,1.301,0.000,7785,77690,0,139.141,125.536,125.854,0.914,0.898,0.919,15.228,9.554,10.032,0.825,0.793,0.836,7.517,6.197,6.600,0.633,0.600,0.645,3.525,3.730,3.911,0.432,0.398,0.439,1.942,2.220,2.341,0.218,0.174,0.221,0.890,0.950,1.114,
3.700,3.392,3.348,10.026,9.899,9.879,0.318,1.131,0.000,7814,70054,0,136.197,122.562,122.569,0.915,0.905,0.921,15.119,9.926,9.960,0.826,0.803,0.842,7.481,6.354,6.613,0.634,0.634,0.655,3.520,3.928,3.942,0.433,0.434,0.451,1.939,2.344,2.379,0.219,0.175,0.227,0.888,0.918,1.118,
3.741,3.451,3.399,10.034,9.908,9.895,0.318,1.097,0.000,7908,73036,0,137.826,124.154,124.358,0.914,0.901,0.920,15.220,9.772,10.097,0.825,0.800,0.839,7.519,6.394,6.626,0.634,0.621,0.648,3.527,3.853,3.927,0.433,0.422,0.441,1.943,2.328,2.355,0.219,0.259,0.224,0.892,1.225,1.117,
