MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
2.183,1.849,1.812,3.950,3.574,3.557,0.341,4.158,0.000,15540,273142,0,100.088,78.804,78.770,0.920,0.904,0.925,10.763,7.801,7.958,0.829,0.808,0.836,6.294,5.654,5.741,0.733,0.712,0.739,4.365,4.446,4.455,0.636,0.596,0.641,3.232,3.460,3.545,0.536,0.545,0.541,2.439,2.983,2.802,0.433,0.376,0.436,1.821,1.961,2.160,0.219,0.209,0.221,0.844,1.092,1.036,
2.183,1.857,1.799,3.950,3.582,3.551,0.341,4.063,0.000,15540,271686,0,100.088,78.836,78.543,0.920,0.911,0.934,10.763,8.022,8.248,0.829,0.783,0.850,6.294,5.569,5.922,0.733,0.699,0.758,4.365,4.434,4.618,0.636,0.607,0.656,3.232,3.522,3.650,0.536,0.493,0.553,2.439,2.740,2.885,0.433,0.435,0.449,1.821,2.252,2.214,0.219,0.183,0.228,0.844,0.958,1.057,
2.183,1.880,1.810,3.950,3.592,3.556,0.341,4.350,0.000,15540,295693,0,100.088,78.929,78.812,0.920,0.916,0.932,10.763,8.154,8.118,0.829,0.812,0.847,6.294,5.763,5.860,0.733,0.714,0.752,4.365,4.394,4.559,0.636,0.615,0.653,3.232,3.585,3.619,0.536,0.482,0.553,2.439,2.687,2.873,0.433,0.414,0.446,1.821,2.172,2.204,0.219,0.271,0.224,0.844,1.156,1.050,
2.183,1.844,1.809,3.950,3.586,3.554,0.341,4.708,0.000,15540,320327,0,100.088,78.840,78.643,0.920,0.904,0.923,10.763,7.936,8.153,0.829,0.797,0.835,6.294,5.779,5.881,0.733,0.677,0.738,4.365,4.275,4.584,0.636,0.558,0.643,3.232,3.213,3.659,0.536,0.512,0.537,2.439,2.777,2.873,0.433,0.455,0.430,1.821,2.265,2.197,0.219,0.151,0.219,0.844,0.878,1.050,
2.183,1.838,1.816,3.950,3.571,3.554,0.341,3.823,0.000,15540,275965,0,100.088,78.796,78.776,0.920,0.909,0.937,10.763,8.034,8.352,0.829,0.780,0.851,6.294,5.503,5.966,0.733,0.718,0.758,4.365,4.461,4.640,0.636,0.629,0.653,3.232,3.650,3.648,0.536,0.500,0.551,2.439,2.715,2.886,0.433,0.433,0.444,1.821,2.161,2.214,0.219,0.182,0.227,0.844,0.911,1.063,
2.183,1.840,1.811,3.950,3.566,3.551,0.341,4.010,0.000,15540,286512,0,100.088,78.835,78.762,0.920,0.908,0.932,10.763,7.992,8.179,0.829,0.799,0.846,6.294,5.658,5.888,0.733,0.726,0.756,4.365,4.595,4.610,0.636,0.611,0.655,3.232,3.528,3.650,0.536,0.488,0.556,2.439,2.715,2.904,0.433,0.385,0.451,1.821,2.052,2.245,0.219,0.207,0.224,0.844,1.049,1.064,
2.183,1.852,1.817,3.950,3.580,3.550,0.341,5.058,0.000,15540,324211,0,100.088,78.818,78.772,0.920,0.901,0.937,10.763,7.843,8.301,0.829,0.820,0.854,6.294,5.889,5.981,0.733,0.698,0.761,4.365,4.436,4.646,0.636,0.595,0.662,3.232,3.481,3.685,0.536,0.527,0.559,2.439,2.795,2.912,0.433,0.417,0.453,1.821,2.159,2.243,0.219,0.222,0.228,0.844,1.098,1.061,
2.183,1.835,1.814,3.950,3.580,3.552,0.341,4.877,0.000,15540,327612,0,100.088,78.892,78.853,0.920,0.895,0.930,10.763,7.507,8.255,0.829,0.772,0.844,6.294,5.427,5.953,0.733,0.686,0.750,4.365,4.401,4.626,0.636,0.609,0.653,3.232,3.499,3.682,0.536,0.506,0.553,2.439,2.793,2.929,0.433,0.404,0.446,1.821,2.103,2.250,0.219,0.210,0.224,0.844,1.034,1.069,
2.183,1.870,1.811,3.950,3.590,3.557,0.341,4.391,0.000,15540,278437,0,100.088,78.844,78.933,0.920,0.913,0.933,10.763,8.171,8.314,0.829,0.815,0.848,6.294,5.787,5.964,0.733,0.705,0.756,4.365,4.389,4.644,0.636,0.626,0.656,3.232,3.562,3.685,0.536,0.491,0.551,2.439,2.631,2.900,0.433,0.413,0.448,1.821,2.135,2.236,0.219,0.173,0.229,0.844,0.959,1.068,
2.183,1.838,1.828,3.950,3.578,3.560,0.341,3.747,0.000,15540,258186,0,100.088,78.793,78.958,0.920,0.911,0.922,10.763,8.095,7.963,0.829,0.809,0.828,6.294,5.790,5.729,0.733,0.718,0.732,4.365,4.485,4.474,0.636,0.634,0.632,3.232,3.672,3.557,0.536,0.478,0.528,2.439,2.668,2.798,0.433,0.429,0.425,1.821,2.189,2.151,0.219,0.183,0.212,0.844,0.947,1.021,
2.183,1.844,1.806,3.950,3.583,3.548,0.341,4.906,0.000,15540,311421,0,100.088,78.859,78.488,0.920,0.903,0.931,10.763,7.942,8.065,0.829,0.792,0.842,6.294,5.531,5.799,0.733,0.666,0.749,4.365,4.151,4.530,0.636,0.633,0.648,3.232,3.675,3.582,0.536,0.478,0.548,2.439,2.657,2.836,0.433,0.415,0.445,1.821,2.111,2.183,0.219,0.196,0.227,0.844,0.970,1.049,
2.183,1.865,1.807,3.950,3.582,3.552,0.341,4.535,0.000,15540,312265,0,100.088,78.895,78.636,0.920,0.895,0.939,10.763,7.899,8.332,0.829,0.782,0.857,6.294,5.579,6.015,0.733,0.678,0.763,4.365,4.246,4.643,0.636,0.595,0.664,3.232,3.493,3.681,0.536,0.493,0.562,2.439,2.645,2.903,0.433,0.421,0.457,1.821,2.142,2.238,0.219,0.237,0.230,0.844,1.066,1.067,
2.183,1.851,1.818,3.950,3.591,3.557,0.341,4.189,0.000,15540,278820,0,100.088,78.814,78.633,0.920,0.888,0.928,10.763,7.591,8.141,0.829,0.804,0.842,6.294,5.658,5.884,0.733,0.703,0.745,4.365,4.438,4.571,0.636,0.581,0.645,3.232,3.380,3.623,0.536,0.457,0.540,2.439,2.498,2.851,0.433,0.404,0.438,1.821,2.130,2.200,0.219,0.182,0.222,0.844,0.948,1.048,
2.183,1.838,1.814,3.950,3.578,3.553,0.341,4.649,0.000,15540,306962,0,100.088,78.917,78.883,0.920,0.914,0.937,10.763,8.091,8.275,0.829,0.812,0.853,6.294,5.697,5.932,0.733,0.661,0.761,4.365,4.292,4.617,0.636,0.647,0.661,3.232,3.668,3.673,0.536,0.522,0.558,2.439,2.831,2.891,0.433,0.439,0.451,1.821,2.227,2.230,0.219,0.137,0.233,0.844,0.774,1.078,
2.183,1.858,1.809,3.950,3.581,3.551,0.341,4.578,0.000,15540,302653,0,100.088,78.892,78.833,0.920,0.881,0.938,10.763,7.548,8.368,0.829,0.789,0.855,6.294,5.616,6.016,0.733,0.715,0.765,4.365,4.505,4.695,0.636,0.584,0.665,3.232,3.436,3.719,0.536,0.491,0.566,2.439,2.659,2.959,0.433,0.382,0.461,1.821,1.999,2.296,0.219,0.166,0.234,0.844,0.894,1.094,
2.183,1.848,1.813,3.950,3.576,3.548,0.341,4.538,0.000,15540,301907,0,100.088,78.855,78.718,0.920,0.901,0.934,10.763,7.937,8.262,0.829,0.816,0.846,6.294,5.736,5.898,0.733,0.676,0.753,4.365,4.295,4.599,0.636,0.611,0.654,3.232,3.509,3.656,0.536,0.509,0.550,2.439,2.721,2.886,0.433,0.430,0.445,1.821,2.213,2.217,0.219,0.185,0.227,0.844,0.973,1.062,
2.183,1.851,1.808,3.950,3.574,3.551,0.341,4.080,0.000,15540,275961,0,100.088,78.850,78.713,0.920,0.900,0.937,10.763,7.815,8.341,0.829,0.802,0.853,6.294,5.830,5.988,0.733,0.747,0.762,4.365,4.741,4.672,0.636,0.602,0.664,3.232,3.502,3.722,0.536,0.484,0.561,2.439,2.680,2.925,0.433,0.396,0.455,1.821,2.095,2.260,0.219,0.228,0.231,0.844,1.053,1.079,
2.183,1.833,1.818,3.950,3.577,3.554,0.341,4.419,0.000,15540,307039,0,100.088,78.759,78.769,0.920,0.902,0.923,10.763,7.828,7.942,0.829,0.816,0.832,6.294,5.738,5.710,0.733,0.675,0.737,4.365,4.151,4.463,0.636,0.615,0.637,3.232,3.575,3.536,0.536,0.517,0.536,2.439,2.826,2.786,0.433,0.370,0.437,1.821,1.981,2.152,0.219,0.221,0.218,0.844,1.035,1.022,
