MAE_QR,MAE_DL,MAE_MULTI,RMSE_QR,RMSE_DL,RMSE_MULTI,C_LOSS_QR,C_LOSS_DL,C_LOSS_MULTI,CROSSES_QR,CROSSES_DL,CROSSES_MULTI,T_LOSS_QR,T_LOSS_DL,T_LOSS_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI,ICP_QR,ICP_DL,ICP_MULTI,MIL_QR,MIL_DL,MIL_MULTI
2.183,1.872,1.822,3.950,3.590,3.559,0.328,0.916,0.000,8708,61693,0,70.252,55.201,55.359,0.920,0.900,0.932,10.763,7.816,8.189,0.829,0.785,0.845,6.294,5.613,5.909,0.636,0.601,0.650,3.232,3.511,3.644,0.433,0.404,0.443,1.821,2.097,2.220,0.219,0.175,0.223,0.844,0.873,1.055
2.183,1.847,1.818,3.950,3.578,3.555,0.328,1.138,0.000,8708,73068,0,70.252,55.305,55.290,0.920,0.898,0.931,10.763,7.776,8.147,0.829,0.783,0.844,6.294,5.580,5.868,0.636,0.587,0.648,3.232,3.430,3.613,0.433,0.407,0.439,1.821,2.153,2.190,0.219,0.140,0.221,0.844,0.797,1.040
2.183,1.850,1.820,3.950,3.582,3.563,0.328,1.254,0.000,8708,78930,0,70.252,55.238,55.337,0.920,0.902,0.933,10.763,7.818,8.286,0.829,0.799,0.843,6.294,5.663,5.909,0.636,0.624,0.648,3.232,3.587,3.650,0.433,0.369,0.441,1.821,1.915,2.220,0.219,0.178,0.217,0.844,0.946,1.040
2.183,1.836,1.821,3.950,3.579,3.559,0.328,1.307,0.000,8708,81768,0,70.252,55.241,55.293,0.920,0.903,0.929,10.763,7.880,8.023,0.829,0.787,0.841,6.294,5.543,5.781,0.636,0.573,0.647,3.232,3.296,3.574,0.433,0.397,0.439,1.821,2.087,2.169,0.219,0.178,0.222,0.844,0.944,1.030
2.183,1.874,1.811,3.950,3.589,3.557,0.328,1.611,0.000,8708,110733,0,70.252,55.275,55.220,0.920,0.903,0.927,10.763,7.922,8.081,0.829,0.807,0.840,6.294,5.701,5.813,0.636,0.569,0.643,3.232,3.276,3.578,0.433,0.389,0.436,1.821,2.050,2.175,0.219,0.220,0.220,0.844,1.084,1.038
2.183,1.846,1.811,3.950,3.584,3.551,0.328,1.316,0.000,8708,88745,0,70.252,55.251,55.359,0.920,0.902,0.938,10.763,7.814,8.381,0.829,0.801,0.854,6.294,5.695,6.008,0.636,0.640,0.664,3.232,3.615,3.713,0.433,0.412,0.452,1.821,2.177,2.228,0.219,0.183,0.233,0.844,0.905,1.071
2.183,1.855,1.816,3.950,3.587,3.557,0.328,1.701,0.000,8708,133893,0,70.252,55.278,55.288,0.920,0.871,0.935,10.763,7.480,8.267,0.829,0.804,0.849,6.294,5.796,5.931,0.636,0.587,0.659,3.232,3.451,3.656,0.433,0.458,0.452,1.821,2.270,2.233,0.219,0.259,0.231,0.844,1.167,1.066
2.183,1.872,1.813,3.950,3.584,3.552,0.328,1.661,0.000,8708,114348,0,70.252,55.361,55.249,0.920,0.898,0.925,10.763,7.939,8.120,0.829,0.804,0.840,6.294,5.640,5.884,0.636,0.592,0.646,3.232,3.525,3.634,0.433,0.406,0.440,1.821,2.053,2.220,0.219,0.181,0.222,0.844,0.977,1.055
2.183,1.857,1.820,3.950,3.582,3.562,0.328,0.989,0.000,8708,76030,0,70.252,55.198,55.414,0.920,0.902,0.933,10.763,7.850,8.193,0.829,0.789,0.847,6.294,5.553,5.882,0.636,0.588,0.654,3.232,3.445,3.630,0.433,0.433,0.443,1.821,2.196,2.194,0.219,0.191,0.223,0.844,0.966,1.042
2.183,1.838,1.812,3.950,3.575,3.553,0.328,1.372,0.000,8708,98579,0,70.252,55.196,55.266,0.920,0.899,0.931,10.763,7.759,8.115,0.829,0.805,0.843,6.294,5.716,5.810,0.636,0.576,0.647,3.232,3.324,3.585,0.433,0.376,0.441,1.821,2.039,2.182,0.219,0.231,0.221,0.844,1.114,1.039
2.183,1.885,1.817,3.950,3.591,3.558,0.328,1.246,0.000,8708,83831,0,70.252,55.299,55.387,0.920,0.895,0.936,10.763,7.769,8.309,0.829,0.823,0.853,6.294,5.957,5.971,0.636,0.612,0.660,3.232,3.495,3.679,0.433,0.442,0.453,1.821,2.216,2.249,0.219,0.197,0.228,0.844,0.959,1.068
2.183,1.866,1.821,3.950,3.581,3.559,0.328,1.124,0.000,8708,67970,0,70.252,55.219,55.354,0.920,0.913,0.925,10.763,7.997,8.077,0.829,0.824,0.835,6.294,5.858,5.801,0.636,0.608,0.632,3.232,3.496,3.545,0.433,0.376,0.428,1.821,1.988,2.151,0.219,0.197,0.217,0.844,1.022,1.030
2.183,1.845,1.830,3.950,3.585,3.562,0.328,1.219,0.000,8708,82022,0,70.252,55.253,55.620,0.920,0.905,0.931,10.763,7.904,8.165,0.829,0.801,0.842,6.294,5.656,5.863,0.636,0.606,0.649,3.232,3.473,3.634,0.433,0.378,0.442,1.821,2.047,2.210,0.219,0.149,0.224,0.844,0.852,1.054
2.183,1.878,1.821,3.950,3.587,3.560,0.328,1.019,0.000,8708,67175,0,70.252,55.249,55.484,0.920,0.906,0.929,10.763,7.906,8.069,0.829,0.793,0.841,6.294,5.547,5.796,0.636,0.612,0.648,3.232,3.547,3.593,0.433,0.446,0.438,1.821,2.231,2.170,0.219,0.220,0.222,0.844,1.049,1.043
